,name,stars,review,price,note,open_time,restautant_type,address,ward,district,city
10654,Quán Phở Trí Sang,3.0,(1),None,'Dine-in';  'Takeout',,None,None,Phường Lê Lợi,Quận Ngô Quyền,Thành phố Hải Phòng
10655,Thanh Thu,None,None,None,'Dine-in',,None,None,Phường Lạch Tray,Quận Ngô Quyền,Thành phố Hải Phòng
10656,282 Restaurant,4.0,(1),None,'Dine-in';  'Takeout',,None,None,Phường Lạch Tray,Quận Ngô Quyền,Thành phố Hải Phòng
10657,ban,None,None,None,'Dine-in';  'Takeout','Closed';  ' ⋅ Opens 11\u202fAM Sat',Japanese,"RMWQ+JQ7, Ng. 122 Đình Đông",Phường Lạch Tray,Quận Ngô Quyền,Thành phố Hải Phòng
10658,Sầu Riêng Sạch,4.8,(8),None,'Dine-in';  'Takeout';  'Delivery','Closed';  ' ⋅ Opens 9\u202fAM Sat',Restaurant,127 Chợ Hàng,Phường Lạch Tray,Quận Ngô Quyền,Thành phố Hải Phòng
10659,Cô Thăm Sài Gòn Bánh Mì Sạch,None,None,None,'Dine-in';  'Takeout',,None,None,Phường Lạch Tray,Quận Ngô Quyền,Thành phố Hải Phòng
10660,Cocoroti Đình Đông,3.0,(1),None,'Dine-in',,None,None,Phường Lạch Tray,Quận Ngô Quyền,Thành phố Hải Phòng
10661,Oggy - Fusion Restaurant,4.4,(40),None,'Dine-in';  'Takeout';  'Delivery','Closed';  ' ⋅ Opens 10:30\u202fAM Sat',Japanese,54 BT1,Phường Lạch Tray,Quận Ngô Quyền,Thành phố Hải Phòng
10662,Nhà Hàng 207 Đình Đông Ngan - Vịt,3.0,(1),None,'Dine-in';  'Takeout';  'Delivery',,None,None,Phường Lạch Tray,Quận Ngô Quyền,Thành phố Hải Phòng
10663,36 Chợ Hàng Cú Bánh Mỳ Nóng,None,None,None,'Dine-in';  'Takeout',,None,None,Phường Lạch Tray,Quận Ngô Quyền,Thành phố Hải Phòng
10664,Nguyễn văn hoà,None,None,None,'Dine-in';  'Drive-through';  'No-contact delivery','Closed';  ' ⋅ Opens 7\u202fAM Sat',Restaurant,Thôn trà sơn,Phường Lạch Tray,Quận Ngô Quyền,Thành phố Hải Phòng
10665,Vịt Cỏ Ninh Hường Cs2,4.0,(76),None,'Dine-in';  'Takeout';  'Delivery','Closed';  ' ⋅ Opens 6\u202fAM Sat',Restaurant,207 Đình Đông,Phường Lạch Tray,Quận Ngô Quyền,Thành phố Hải Phòng
10666,Thủy Anh Phở Bò Nam Định,4.0,(1),None,'Dine-in';  'Takeout',,None,None,Phường Lạch Tray,Quận Ngô Quyền,Thành phố Hải Phòng
10667,Khánh Linh,None,None,None,,,None,None,Phường Lạch Tray,Quận Ngô Quyền,Thành phố Hải Phòng
10668,Nhà Hàng Hotto,4.7,(3),None,'Dine-in';  'Takeout';  'Delivery','Open 24 hours',Restaurant,Big C,Phường Lạch Tray,Quận Ngô Quyền,Thành phố Hải Phòng
10669,Quán Bún Chả Quạt Hồng Đạt,3.8,(27),None,'Dine-in';  'Takeout','Closed';  ' ⋅ Opens 9:30\u202fAM Sat',Noodle Shop,83 Đình Đông,Phường Lạch Tray,Quận Ngô Quyền,Thành phố Hải Phòng
10670,Quán Alo Milk,None,None,None,'Dine-in';  'Takeout';  'Delivery',,None,None,Phường Lạch Tray,Quận Ngô Quyền,Thành phố Hải Phòng
10671,Chân Gà Hẻm,4.5,(2),None,'Dine-in';  'Takeout','Closed';  ' ⋅ Opens 10:30\u202fAM Sat',Family-friendly,17 Ng. 122 Đình Đông,Phường Lạch Tray,Quận Ngô Quyền,Thành phố Hải Phòng
10672,Bún Chả Bình,None,None,None,'Dine-in';  'Takeout';  'Delivery',,None,None,Phường Lạch Tray,Quận Ngô Quyền,Thành phố Hải Phòng
10673,An Toan Nutrution Soup Store,3.0,(1),None,'Takeout',,None,None,Phường Lạch Tray,Quận Ngô Quyền,Thành phố Hải Phòng
10674,Quán Phở Trí Sang,3.0,(1),None,'Dine-in';  'Takeout',,None,None,Phường Lạch Tray,Quận Ngô Quyền,Thành phố Hải Phòng
10675,Thanh Thu,None,None,None,'Dine-in',,None,None,Phường Vạn Mỹ,Quận Ngô Quyền,Thành phố Hải Phòng
10676,282 Restaurant,4.0,(1),None,'Dine-in';  'Takeout',,None,None,Phường Vạn Mỹ,Quận Ngô Quyền,Thành phố Hải Phòng
10677,ban,None,None,None,'Dine-in';  'Takeout','Closed';  ' ⋅ Opens 11\u202fAM Sat',Japanese,"RMWQ+JQ7, Ng. 122 Đình Đông",Phường Vạn Mỹ,Quận Ngô Quyền,Thành phố Hải Phòng
10678,Sầu Riêng Sạch,4.8,(8),None,'Dine-in';  'Takeout';  'Delivery','Closed';  ' ⋅ Opens 9\u202fAM Sat',Restaurant,127 Chợ Hàng,Phường Vạn Mỹ,Quận Ngô Quyền,Thành phố Hải Phòng
10679,Cô Thăm Sài Gòn Bánh Mì Sạch,None,None,None,'Dine-in';  'Takeout',,None,None,Phường Vạn Mỹ,Quận Ngô Quyền,Thành phố Hải Phòng
10680,Cocoroti Đình Đông,3.0,(1),None,'Dine-in',,None,None,Phường Vạn Mỹ,Quận Ngô Quyền,Thành phố Hải Phòng
10681,Oggy - Fusion Restaurant,4.4,(40),None,'Dine-in';  'Takeout';  'Delivery','Closed';  ' ⋅ Opens 10:30\u202fAM Sat',Japanese,54 BT1,Phường Vạn Mỹ,Quận Ngô Quyền,Thành phố Hải Phòng
10682,Nhà Hàng 207 Đình Đông Ngan - Vịt,3.0,(1),None,'Dine-in';  'Takeout';  'Delivery',,None,None,Phường Vạn Mỹ,Quận Ngô Quyền,Thành phố Hải Phòng
10683,36 Chợ Hàng Cú Bánh Mỳ Nóng,None,None,None,'Dine-in';  'Takeout',,None,None,Phường Vạn Mỹ,Quận Ngô Quyền,Thành phố Hải Phòng
10684,Nguyễn văn hoà,None,None,None,'Dine-in';  'Drive-through';  'No-contact delivery','Closed';  ' ⋅ Opens 7\u202fAM Sat',Restaurant,Thôn trà sơn,Phường Vạn Mỹ,Quận Ngô Quyền,Thành phố Hải Phòng
10685,Vịt Cỏ Ninh Hường Cs2,4.0,(76),None,'Dine-in';  'Takeout';  'Delivery','Closed';  ' ⋅ Opens 6\u202fAM Sat',Restaurant,207 Đình Đông,Phường Vạn Mỹ,Quận Ngô Quyền,Thành phố Hải Phòng
10686,Thủy Anh Phở Bò Nam Định,4.0,(1),None,'Dine-in';  'Takeout',,None,None,Phường Vạn Mỹ,Quận Ngô Quyền,Thành phố Hải Phòng
10687,Khánh Linh,None,None,None,,,None,None,Phường Vạn Mỹ,Quận Ngô Quyền,Thành phố Hải Phòng
10688,Nhà Hàng Hotto,4.7,(3),None,'Dine-in';  'Takeout';  'Delivery','Open 24 hours',Restaurant,Big C,Phường Vạn Mỹ,Quận Ngô Quyền,Thành phố Hải Phòng
10689,Quán Bún Chả Quạt Hồng Đạt,3.8,(27),None,'Dine-in';  'Takeout','Closed';  ' ⋅ Opens 9:30\u202fAM Sat',Noodle Shop,83 Đình Đông,Phường Vạn Mỹ,Quận Ngô Quyền,Thành phố Hải Phòng
10690,Quán Alo Milk,None,None,None,'Dine-in';  'Takeout';  'Delivery',,None,None,Phường Vạn Mỹ,Quận Ngô Quyền,Thành phố Hải Phòng
10691,Chân Gà Hẻm,4.5,(2),None,'Dine-in';  'Takeout','Closed';  ' ⋅ Opens 10:30\u202fAM Sat',Family-friendly,17 Ng. 122 Đình Đông,Phường Vạn Mỹ,Quận Ngô Quyền,Thành phố Hải Phòng
10692,Bún Chả Bình,None,None,None,'Dine-in';  'Takeout';  'Delivery',,None,None,Phường Vạn Mỹ,Quận Ngô Quyền,Thành phố Hải Phòng
10693,An Toan Nutrution Soup Store,3.0,(1),None,'Takeout',,None,None,Phường Vạn Mỹ,Quận Ngô Quyền,Thành phố Hải Phòng
10694,Quán Phở Trí Sang,3.0,(1),None,'Dine-in';  'Takeout',,None,None,Phường Vạn Mỹ,Quận Ngô Quyền,Thành phố Hải Phòng
10695,Thanh Thu,None,None,None,'Dine-in',,None,None,Phường Lạc Viên,Quận Ngô Quyền,Thành phố Hải Phòng
10696,282 Restaurant,4.0,(1),None,'Dine-in';  'Takeout',,None,None,Phường Lạc Viên,Quận Ngô Quyền,Thành phố Hải Phòng
10697,ban,None,None,None,'Dine-in';  'Takeout','Closed';  ' ⋅ Opens 11\u202fAM Sat',Japanese,"RMWQ+JQ7, Ng. 122 Đình Đông",Phường Lạc Viên,Quận Ngô Quyền,Thành phố Hải Phòng
10698,Sầu Riêng Sạch,4.8,(8),None,'Dine-in';  'Takeout';  'Delivery','Closed';  ' ⋅ Opens 9\u202fAM Sat',Restaurant,127 Chợ Hàng,Phường Lạc Viên,Quận Ngô Quyền,Thành phố Hải Phòng
10699,Cô Thăm Sài Gòn Bánh Mì Sạch,None,None,None,'Dine-in';  'Takeout',,None,None,Phường Lạc Viên,Quận Ngô Quyền,Thành phố Hải Phòng
10700,Cocoroti Đình Đông,3.0,(1),None,'Dine-in',,None,None,Phường Lạc Viên,Quận Ngô Quyền,Thành phố Hải Phòng
10701,Oggy - Fusion Restaurant,4.4,(40),None,'Dine-in';  'Takeout';  'Delivery','Closed';  ' ⋅ Opens 10:30\u202fAM Sat',Japanese,54 BT1,Phường Lạc Viên,Quận Ngô Quyền,Thành phố Hải Phòng
10702,Nhà Hàng 207 Đình Đông Ngan - Vịt,3.0,(1),None,'Dine-in';  'Takeout';  'Delivery',,None,None,Phường Lạc Viên,Quận Ngô Quyền,Thành phố Hải Phòng
10703,36 Chợ Hàng Cú Bánh Mỳ Nóng,None,None,None,'Dine-in';  'Takeout',,None,None,Phường Lạc Viên,Quận Ngô Quyền,Thành phố Hải Phòng
10704,Nguyễn văn hoà,None,None,None,'Dine-in';  'Drive-through';  'No-contact delivery','Closed';  ' ⋅ Opens 7\u202fAM Sat',Restaurant,Thôn trà sơn,Phường Lạc Viên,Quận Ngô Quyền,Thành phố Hải Phòng
10705,Vịt Cỏ Ninh Hường Cs2,4.0,(76),None,'Dine-in';  'Takeout';  'Delivery','Closed';  ' ⋅ Opens 6\u202fAM Sat',Restaurant,207 Đình Đông,Phường Lạc Viên,Quận Ngô Quyền,Thành phố Hải Phòng
10706,Thủy Anh Phở Bò Nam Định,4.0,(1),None,'Dine-in';  'Takeout',,None,None,Phường Lạc Viên,Quận Ngô Quyền,Thành phố Hải Phòng
10707,Khánh Linh,None,None,None,,,None,None,Phường Lạc Viên,Quận Ngô Quyền,Thành phố Hải Phòng
10708,Nhà Hàng Hotto,4.7,(3),None,'Dine-in';  'Takeout';  'Delivery','Open 24 hours',Restaurant,Big C,Phường Lạc Viên,Quận Ngô Quyền,Thành phố Hải Phòng
10709,Quán Bún Chả Quạt Hồng Đạt,3.8,(27),None,'Dine-in';  'Takeout','Closed';  ' ⋅ Opens 9:30\u202fAM Sat',Noodle Shop,83 Đình Đông,Phường Lạc Viên,Quận Ngô Quyền,Thành phố Hải Phòng
10710,Quán Alo Milk,None,None,None,'Dine-in';  'Takeout';  'Delivery',,None,None,Phường Lạc Viên,Quận Ngô Quyền,Thành phố Hải Phòng
10711,Chân Gà Hẻm,4.5,(2),None,'Dine-in';  'Takeout','Closed';  ' ⋅ Opens 10:30\u202fAM Sat',Family-friendly,17 Ng. 122 Đình Đông,Phường Lạc Viên,Quận Ngô Quyền,Thành phố Hải Phòng
10712,Bún Chả Bình,None,None,None,'Dine-in';  'Takeout';  'Delivery',,None,None,Phường Lạc Viên,Quận Ngô Quyền,Thành phố Hải Phòng
10713,An Toan Nutrution Soup Store,3.0,(1),None,'Takeout',,None,None,Phường Lạc Viên,Quận Ngô Quyền,Thành phố Hải Phòng
10714,Quán Phở Trí Sang,3.0,(1),None,'Dine-in';  'Takeout',,None,None,Phường Lạc Viên,Quận Ngô Quyền,Thành phố Hải Phòng
10715,Thanh Thu,None,None,None,'Dine-in',,None,None,Phường Máy Tơ,Quận Ngô Quyền,Thành phố Hải Phòng
10716,282 Restaurant,4.0,(1),None,'Dine-in';  'Takeout',,None,None,Phường Máy Tơ,Quận Ngô Quyền,Thành phố Hải Phòng
10717,ban,None,None,None,'Dine-in';  'Takeout','Closed';  ' ⋅ Opens 11\u202fAM Sat',Japanese,"RMWQ+JQ7, Ng. 122 Đình Đông",Phường Máy Tơ,Quận Ngô Quyền,Thành phố Hải Phòng
10718,Sầu Riêng Sạch,4.8,(8),None,'Dine-in';  'Takeout';  'Delivery','Closed';  ' ⋅ Opens 9\u202fAM Sat',Restaurant,127 Chợ Hàng,Phường Máy Tơ,Quận Ngô Quyền,Thành phố Hải Phòng
10719,Cô Thăm Sài Gòn Bánh Mì Sạch,None,None,None,'Dine-in';  'Takeout',,None,None,Phường Máy Tơ,Quận Ngô Quyền,Thành phố Hải Phòng
10720,Cocoroti Đình Đông,3.0,(1),None,'Dine-in',,None,None,Phường Máy Tơ,Quận Ngô Quyền,Thành phố Hải Phòng
10721,Oggy - Fusion Restaurant,4.4,(40),None,'Dine-in';  'Takeout';  'Delivery','Closed';  ' ⋅ Opens 10:30\u202fAM Sat',Japanese,54 BT1,Phường Máy Tơ,Quận Ngô Quyền,Thành phố Hải Phòng
10722,Nhà Hàng 207 Đình Đông Ngan - Vịt,3.0,(1),None,'Dine-in';  'Takeout';  'Delivery',,None,None,Phường Máy Tơ,Quận Ngô Quyền,Thành phố Hải Phòng
10723,36 Chợ Hàng Cú Bánh Mỳ Nóng,None,None,None,'Dine-in';  'Takeout',,None,None,Phường Máy Tơ,Quận Ngô Quyền,Thành phố Hải Phòng
10724,Nguyễn văn hoà,None,None,None,'Dine-in';  'Drive-through';  'No-contact delivery','Closed';  ' ⋅ Opens 7\u202fAM Sat',Restaurant,Thôn trà sơn,Phường Máy Tơ,Quận Ngô Quyền,Thành phố Hải Phòng
10725,Vịt Cỏ Ninh Hường Cs2,4.0,(76),None,'Dine-in';  'Takeout';  'Delivery','Closed';  ' ⋅ Opens 6\u202fAM Sat',Restaurant,207 Đình Đông,Phường Máy Tơ,Quận Ngô Quyền,Thành phố Hải Phòng
10726,Thủy Anh Phở Bò Nam Định,4.0,(1),None,'Dine-in';  'Takeout',,None,None,Phường Máy Tơ,Quận Ngô Quyền,Thành phố Hải Phòng
10727,Khánh Linh,None,None,None,,,None,None,Phường Máy Tơ,Quận Ngô Quyền,Thành phố Hải Phòng
10728,Nhà Hàng Hotto,4.7,(3),None,'Dine-in';  'Takeout';  'Delivery','Open 24 hours',Restaurant,Big C,Phường Máy Tơ,Quận Ngô Quyền,Thành phố Hải Phòng
10729,Quán Bún Chả Quạt Hồng Đạt,3.8,(27),None,'Dine-in';  'Takeout','Closed';  ' ⋅ Opens 9:30\u202fAM Sat',Noodle Shop,83 Đình Đông,Phường Máy Tơ,Quận Ngô Quyền,Thành phố Hải Phòng
10730,Quán Alo Milk,None,None,None,'Dine-in';  'Takeout';  'Delivery',,None,None,Phường Máy Tơ,Quận Ngô Quyền,Thành phố Hải Phòng
10731,Chân Gà Hẻm,4.5,(2),None,'Dine-in';  'Takeout','Closed';  ' ⋅ Opens 10:30\u202fAM Sat',Family-friendly,17 Ng. 122 Đình Đông,Phường Máy Tơ,Quận Ngô Quyền,Thành phố Hải Phòng
10732,Bún Chả Bình,None,None,None,'Dine-in';  'Takeout';  'Delivery',,None,None,Phường Máy Tơ,Quận Ngô Quyền,Thành phố Hải Phòng
10733,An Toan Nutrution Soup Store,3.0,(1),None,'Takeout',,None,None,Phường Máy Tơ,Quận Ngô Quyền,Thành phố Hải Phòng
10734,Quán Phở Trí Sang,3.0,(1),None,'Dine-in';  'Takeout',,None,None,Phường Máy Tơ,Quận Ngô Quyền,Thành phố Hải Phòng
10735,Thanh Thu,None,None,None,'Dine-in',,None,None,Phường Đông Khê,Quận Ngô Quyền,Thành phố Hải Phòng
10736,282 Restaurant,4.0,(1),None,'Dine-in';  'Takeout',,None,None,Phường Đông Khê,Quận Ngô Quyền,Thành phố Hải Phòng
10737,ban,None,None,None,'Dine-in';  'Takeout','Closed';  ' ⋅ Opens 11\u202fAM Sat',Japanese,"RMWQ+JQ7, Ng. 122 Đình Đông",Phường Đông Khê,Quận Ngô Quyền,Thành phố Hải Phòng
10738,Sầu Riêng Sạch,4.8,(8),None,'Dine-in';  'Takeout';  'Delivery','Closed';  ' ⋅ Opens 9\u202fAM Sat',Restaurant,127 Chợ Hàng,Phường Đông Khê,Quận Ngô Quyền,Thành phố Hải Phòng
10739,Cô Thăm Sài Gòn Bánh Mì Sạch,None,None,None,'Dine-in';  'Takeout',,None,None,Phường Đông Khê,Quận Ngô Quyền,Thành phố Hải Phòng
10740,Cocoroti Đình Đông,3.0,(1),None,'Dine-in',,None,None,Phường Đông Khê,Quận Ngô Quyền,Thành phố Hải Phòng
10741,Oggy - Fusion Restaurant,4.4,(40),None,'Dine-in';  'Takeout';  'Delivery','Closed';  ' ⋅ Opens 10:30\u202fAM Sat',Japanese,54 BT1,Phường Đông Khê,Quận Ngô Quyền,Thành phố Hải Phòng
10742,Nhà Hàng 207 Đình Đông Ngan - Vịt,3.0,(1),None,'Dine-in';  'Takeout';  'Delivery',,None,None,Phường Đông Khê,Quận Ngô Quyền,Thành phố Hải Phòng
10743,36 Chợ Hàng Cú Bánh Mỳ Nóng,None,None,None,'Dine-in';  'Takeout',,None,None,Phường Đông Khê,Quận Ngô Quyền,Thành phố Hải Phòng
10744,Nguyễn văn hoà,None,None,None,'Dine-in';  'Drive-through';  'No-contact delivery','Closed';  ' ⋅ Opens 7\u202fAM Sat',Restaurant,Thôn trà sơn,Phường Đông Khê,Quận Ngô Quyền,Thành phố Hải Phòng
10745,Vịt Cỏ Ninh Hường Cs2,4.0,(76),None,'Dine-in';  'Takeout';  'Delivery','Closed';  ' ⋅ Opens 6\u202fAM Sat',Restaurant,207 Đình Đông,Phường Đông Khê,Quận Ngô Quyền,Thành phố Hải Phòng
10746,Thủy Anh Phở Bò Nam Định,4.0,(1),None,'Dine-in';  'Takeout',,None,None,Phường Đông Khê,Quận Ngô Quyền,Thành phố Hải Phòng
10747,Khánh Linh,None,None,None,,,None,None,Phường Đông Khê,Quận Ngô Quyền,Thành phố Hải Phòng
10748,Nhà Hàng Hotto,4.7,(3),None,'Dine-in';  'Takeout';  'Delivery','Open 24 hours',Restaurant,Big C,Phường Đông Khê,Quận Ngô Quyền,Thành phố Hải Phòng
10749,Quán Bún Chả Quạt Hồng Đạt,3.8,(27),None,'Dine-in';  'Takeout','Closed';  ' ⋅ Opens 9:30\u202fAM Sat',Noodle Shop,83 Đình Đông,Phường Đông Khê,Quận Ngô Quyền,Thành phố Hải Phòng
10750,Quán Alo Milk,None,None,None,'Dine-in';  'Takeout';  'Delivery',,None,None,Phường Đông Khê,Quận Ngô Quyền,Thành phố Hải Phòng
10751,Chân Gà Hẻm,4.5,(2),None,'Dine-in';  'Takeout','Closed';  ' ⋅ Opens 10:30\u202fAM Sat',Family-friendly,17 Ng. 122 Đình Đông,Phường Đông Khê,Quận Ngô Quyền,Thành phố Hải Phòng
10752,Bún Chả Bình,None,None,None,'Dine-in';  'Takeout';  'Delivery',,None,None,Phường Đông Khê,Quận Ngô Quyền,Thành phố Hải Phòng
10753,An Toan Nutrution Soup Store,3.0,(1),None,'Takeout',,None,None,Phường Đông Khê,Quận Ngô Quyền,Thành phố Hải Phòng
10754,Quán Phở Trí Sang,3.0,(1),None,'Dine-in';  'Takeout',,None,None,Phường Đông Khê,Quận Ngô Quyền,Thành phố Hải Phòng
10755,Thanh Thu,None,None,None,'Dine-in',,None,None,Phường Cầu Đất,Quận Ngô Quyền,Thành phố Hải Phòng
10756,282 Restaurant,4.0,(1),None,'Dine-in';  'Takeout',,None,None,Phường Cầu Đất,Quận Ngô Quyền,Thành phố Hải Phòng
10757,ban,None,None,None,'Dine-in';  'Takeout','Closed';  ' ⋅ Opens 11\u202fAM Sat',Japanese,"RMWQ+JQ7, Ng. 122 Đình Đông",Phường Cầu Đất,Quận Ngô Quyền,Thành phố Hải Phòng
10758,Sầu Riêng Sạch,4.8,(8),None,'Dine-in';  'Takeout';  'Delivery','Closed';  ' ⋅ Opens 9\u202fAM Sat',Restaurant,127 Chợ Hàng,Phường Cầu Đất,Quận Ngô Quyền,Thành phố Hải Phòng
10759,Cô Thăm Sài Gòn Bánh Mì Sạch,None,None,None,'Dine-in';  'Takeout',,None,None,Phường Cầu Đất,Quận Ngô Quyền,Thành phố Hải Phòng
10760,Cocoroti Đình Đông,3.0,(1),None,'Dine-in',,None,None,Phường Cầu Đất,Quận Ngô Quyền,Thành phố Hải Phòng
10761,Oggy - Fusion Restaurant,4.4,(40),None,'Dine-in';  'Takeout';  'Delivery','Closed';  ' ⋅ Opens 10:30\u202fAM Sat',Japanese,54 BT1,Phường Cầu Đất,Quận Ngô Quyền,Thành phố Hải Phòng
10762,Nhà Hàng 207 Đình Đông Ngan - Vịt,3.0,(1),None,'Dine-in';  'Takeout';  'Delivery',,None,None,Phường Cầu Đất,Quận Ngô Quyền,Thành phố Hải Phòng
10763,36 Chợ Hàng Cú Bánh Mỳ Nóng,None,None,None,'Dine-in';  'Takeout',,None,None,Phường Cầu Đất,Quận Ngô Quyền,Thành phố Hải Phòng
10764,Nguyễn văn hoà,None,None,None,'Dine-in';  'Drive-through';  'No-contact delivery','Closed';  ' ⋅ Opens 7\u202fAM Sat',Restaurant,Thôn trà sơn,Phường Cầu Đất,Quận Ngô Quyền,Thành phố Hải Phòng
10765,Vịt Cỏ Ninh Hường Cs2,4.0,(76),None,'Dine-in';  'Takeout';  'Delivery','Closed';  ' ⋅ Opens 6\u202fAM Sat',Restaurant,207 Đình Đông,Phường Cầu Đất,Quận Ngô Quyền,Thành phố Hải Phòng
10766,Thủy Anh Phở Bò Nam Định,4.0,(1),None,'Dine-in';  'Takeout',,None,None,Phường Cầu Đất,Quận Ngô Quyền,Thành phố Hải Phòng
10767,Khánh Linh,None,None,None,,,None,None,Phường Cầu Đất,Quận Ngô Quyền,Thành phố Hải Phòng
10768,Nhà Hàng Hotto,4.7,(3),None,'Dine-in';  'Takeout';  'Delivery','Open 24 hours',Restaurant,Big C,Phường Cầu Đất,Quận Ngô Quyền,Thành phố Hải Phòng
10769,Quán Bún Chả Quạt Hồng Đạt,3.8,(27),None,'Dine-in';  'Takeout','Closed';  ' ⋅ Opens 9:30\u202fAM Sat',Noodle Shop,83 Đình Đông,Phường Cầu Đất,Quận Ngô Quyền,Thành phố Hải Phòng
10770,Quán Alo Milk,None,None,None,'Dine-in';  'Takeout';  'Delivery',,None,None,Phường Cầu Đất,Quận Ngô Quyền,Thành phố Hải Phòng
10771,Chân Gà Hẻm,4.5,(2),None,'Dine-in';  'Takeout','Closed';  ' ⋅ Opens 10:30\u202fAM Sat',Family-friendly,17 Ng. 122 Đình Đông,Phường Cầu Đất,Quận Ngô Quyền,Thành phố Hải Phòng
10772,Bún Chả Bình,None,None,None,'Dine-in';  'Takeout';  'Delivery',,None,None,Phường Cầu Đất,Quận Ngô Quyền,Thành phố Hải Phòng
10773,An Toan Nutrution Soup Store,3.0,(1),None,'Takeout',,None,None,Phường Cầu Đất,Quận Ngô Quyền,Thành phố Hải Phòng
10774,Quán Phở Trí Sang,3.0,(1),None,'Dine-in';  'Takeout',,None,None,Phường Cầu Đất,Quận Ngô Quyền,Thành phố Hải Phòng
10775,Thanh Thu,None,None,None,'Dine-in',,None,None,Phường Gia Viên,Quận Ngô Quyền,Thành phố Hải Phòng
10776,282 Restaurant,4.0,(1),None,'Dine-in';  'Takeout',,None,None,Phường Gia Viên,Quận Ngô Quyền,Thành phố Hải Phòng
10777,ban,None,None,None,'Dine-in';  'Takeout','Closed';  ' ⋅ Opens 11\u202fAM Sat',Japanese,"RMWQ+JQ7, Ng. 122 Đình Đông",Phường Gia Viên,Quận Ngô Quyền,Thành phố Hải Phòng
10778,Sầu Riêng Sạch,4.8,(8),None,'Dine-in';  'Takeout';  'Delivery','Closed';  ' ⋅ Opens 9\u202fAM Sat',Restaurant,127 Chợ Hàng,Phường Gia Viên,Quận Ngô Quyền,Thành phố Hải Phòng
10779,Cô Thăm Sài Gòn Bánh Mì Sạch,None,None,None,'Dine-in';  'Takeout',,None,None,Phường Gia Viên,Quận Ngô Quyền,Thành phố Hải Phòng
10780,Cocoroti Đình Đông,3.0,(1),None,'Dine-in',,None,None,Phường Gia Viên,Quận Ngô Quyền,Thành phố Hải Phòng
10781,Oggy - Fusion Restaurant,4.4,(40),None,'Dine-in';  'Takeout';  'Delivery','Closed';  ' ⋅ Opens 10:30\u202fAM Sat',Japanese,54 BT1,Phường Gia Viên,Quận Ngô Quyền,Thành phố Hải Phòng
10782,Nhà Hàng 207 Đình Đông Ngan - Vịt,3.0,(1),None,'Dine-in';  'Takeout';  'Delivery',,None,None,Phường Gia Viên,Quận Ngô Quyền,Thành phố Hải Phòng
10783,36 Chợ Hàng Cú Bánh Mỳ Nóng,None,None,None,'Dine-in';  'Takeout',,None,None,Phường Gia Viên,Quận Ngô Quyền,Thành phố Hải Phòng
10784,Nguyễn văn hoà,None,None,None,'Dine-in';  'Drive-through';  'No-contact delivery','Closed';  ' ⋅ Opens 7\u202fAM Sat',Restaurant,Thôn trà sơn,Phường Gia Viên,Quận Ngô Quyền,Thành phố Hải Phòng
10785,Vịt Cỏ Ninh Hường Cs2,4.0,(76),None,'Dine-in';  'Takeout';  'Delivery','Closed';  ' ⋅ Opens 6\u202fAM Sat',Restaurant,207 Đình Đông,Phường Gia Viên,Quận Ngô Quyền,Thành phố Hải Phòng
10786,Thủy Anh Phở Bò Nam Định,4.0,(1),None,'Dine-in';  'Takeout',,None,None,Phường Gia Viên,Quận Ngô Quyền,Thành phố Hải Phòng
10787,Khánh Linh,None,None,None,,,None,None,Phường Gia Viên,Quận Ngô Quyền,Thành phố Hải Phòng
10788,Nhà Hàng Hotto,4.7,(3),None,'Dine-in';  'Takeout';  'Delivery','Open 24 hours',Restaurant,Big C,Phường Gia Viên,Quận Ngô Quyền,Thành phố Hải Phòng
10789,Quán Bún Chả Quạt Hồng Đạt,3.8,(27),None,'Dine-in';  'Takeout','Closed';  ' ⋅ Opens 9:30\u202fAM Sat',Noodle Shop,83 Đình Đông,Phường Gia Viên,Quận Ngô Quyền,Thành phố Hải Phòng
10790,Quán Alo Milk,None,None,None,'Dine-in';  'Takeout';  'Delivery',,None,None,Phường Gia Viên,Quận Ngô Quyền,Thành phố Hải Phòng
10791,Chân Gà Hẻm,4.5,(2),None,'Dine-in';  'Takeout','Closed';  ' ⋅ Opens 10:30\u202fAM Sat',Family-friendly,17 Ng. 122 Đình Đông,Phường Gia Viên,Quận Ngô Quyền,Thành phố Hải Phòng
10792,Bún Chả Bình,None,None,None,'Dine-in';  'Takeout';  'Delivery',,None,None,Phường Gia Viên,Quận Ngô Quyền,Thành phố Hải Phòng
10793,An Toan Nutrution Soup Store,3.0,(1),None,'Takeout',,None,None,Phường Gia Viên,Quận Ngô Quyền,Thành phố Hải Phòng
10794,Quán Phở Trí Sang,3.0,(1),None,'Dine-in';  'Takeout',,None,None,Phường Gia Viên,Quận Ngô Quyền,Thành phố Hải Phòng
10795,Thanh Thu,None,None,None,'Dine-in',,None,None,Phường Máy Chai,Quận Ngô Quyền,Thành phố Hải Phòng
10796,282 Restaurant,4.0,(1),None,'Dine-in';  'Takeout',,None,None,Phường Máy Chai,Quận Ngô Quyền,Thành phố Hải Phòng
10797,ban,None,None,None,'Dine-in';  'Takeout','Closed';  ' ⋅ Opens 11\u202fAM Sat',Japanese,"RMWQ+JQ7, Ng. 122 Đình Đông",Phường Máy Chai,Quận Ngô Quyền,Thành phố Hải Phòng
