,name,stars,review,price,note,open_time,restautant_type,address,ward,district,city
48,Ba Loi Restaurant,5.0,(1),None,'Dine-in';  'Takeout';  'Delivery','Open now',Restaurant,"79, Dinh Tien Hoang Street, Tam Thuan Ward, Thanh Khe District",Phường Thanh Khê Đông,Quận Thanh Khê,Thành phố Đà Nẵng
49,Quán Ánh Tuyết,None,None,None,'Dine-in';  'Takeout',,None,None,Phường Thanh Khê Đông,Quận Thanh Khê,Thành phố Đà Nẵng
50,Quán Nhậu A. Cường,None,None,None,'Dine-in';  'Takeout',,None,None,Phường Thanh Khê Đông,Quận Thanh Khê,Thành phố Đà Nẵng
51,Sirô Quân,None,None,None,'Dine-in';  'Takeout','Open now',Restaurant,"36F4+M72, K222 Trần Cao Vân",Phường Thanh Khê Đông,Quận Thanh Khê,Thành phố Đà Nẵng
52,Phu My Thanh Restaurant - Nhà hàng Phú Mỹ Thành,4.0,(247),None,'Dine-in','Open';  ' ⋅ Closes 9\u202fPM',Vietnamese,417 Nguyễn Tất Thành,Phường Thanh Khê Đông,Quận Thanh Khê,Thành phố Đà Nẵng
53,Quán Vân,None,None,None,'Dine-in';  'Takeout',,None,None,Phường Thanh Khê Đông,Quận Thanh Khê,Thành phố Đà Nẵng
54,Mở bia,None,None,None,'Dine-in';  'Takeout';  'Delivery',,None,None,Phường Thanh Khê Đông,Quận Thanh Khê,Thành phố Đà Nẵng
55,Cafe 1983,None,None,None,'Dine-in',,None,None,Phường Thanh Khê Đông,Quận Thanh Khê,Thành phố Đà Nẵng
56,Nhà hàng Sophia,4.0,(117),None,'Dine-in';  'Takeout';  'Delivery','Open';  ' ⋅ Closes 11\u202fPM',Vietnamese,527 Nguyễn Tất Thành,Phường Thanh Khê Đông,Quận Thanh Khê,Thành phố Đà Nẵng
57,Bảo Trân Quán,4.5,(2),None,'Dine-in';  'Takeout',,None,None,Phường Thanh Khê Đông,Quận Thanh Khê,Thành phố Đà Nẵng
58,SuBo quán,None,None,None,'Dine-in';  'Takeout',,None,None,Phường Thanh Khê Đông,Quận Thanh Khê,Thành phố Đà Nẵng
59,Nhà Hàng Đầm Sen,None,None,None,'Dine-in';  'Takeout',,None,None,Phường Thanh Khê Đông,Quận Thanh Khê,Thành phố Đà Nẵng
60,A-Z.Kitchen,None,None,None,'Dine-in';  'Takeout',,None,None,Phường Xuân Hà,Quận Thanh Khê,Thành phố Đà Nẵng
